Code ,ICD-10 Diagnosis Description
F01.50,Vascular dementia without behavioral disturbance 
F01.51,Vascular dementia with behavioral disturbance 
F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance 
F02.81,Dementia in other diseases classified elsewhere with behavioral disturbance 
F03.90,Unspecified dementia without behavioral disturbance 
F03.91,Unspecified dementia with behavioral disturbance 
F04,Amnestic disorder due to known physiological condition 
F05,Delirium due to known physiological condition 
F06.0,Psychotic disorder with hallucinations due to known physiological condition 
F06.1,Catatonic disorder due to known physiological condition 
F06.2,Psychotic disorder with delusions due to known physiological condition 
F06.30,"Mood disorder due to known physiological condition, unspecified "
F06.31,Mood disorder due to known physiological condition with depressive features 
F06.32,Mood disorder due to known physiological condition with major depressive-like episode
F06.33,Mood disorder due to known physiological condition with manic features 
F06.34,Mood disorder due to known physiological condition with mixed features 
F06.4,Anxiety disorder due to known physiological condition 
F06.8,Other specified mental disorders due to known physiological condition 
F07.0,Personality change due to known physiological condition 
F07.81,Postconcussional syndrome 
F07.89,Other personality and behavioral disorders due to known physiological condition 
F07.9,Unspecified personality and behavioral disorder due to known physiological condition
F09,Unspecified mental disorder due to known physiological condition 
F10.121,Alcohol abuse with intoxication delirium 
F10.14,Alcohol abuse with alcohol-induced mood disorder 
F10.150,Alcohol abuse with alcohol-induced psychotic disorder with delusions 
F10.151,Alcohol abuse with alcohol-induced psychotic disorder with hallucinations 
F10.159,"Alcohol abuse with alcohol-induced psychotic disorder, unspecified "
F10.180,Alcohol abuse with alcohol-induced anxiety disorder 
F10.181,Alcohol abuse with alcohol-induced sexual dysfunction 
F10.182,Alcohol abuse with alcohol-induced sleep disorder 
F10.188,Alcohol abuse with other alcohol-induced disorder 
F10.19,Alcohol abuse with unspecified alcohol-induced disorder 
F10.221,Alcohol dependence with intoxication delirium 
F10.231,Alcohol dependence with withdrawal delirium 
F10.232,Alcohol dependence with withdrawal with perceptual disturbance 
F10.239,"Alcohol dependence with withdrawal, unspecified "
F10.24,Alcohol dependence with alcohol-induced mood disorder 
F10.250,Alcohol dependence with alcohol-induced psychotic disorder with delusions 
F10.251,Alcohol dependence with alcohol-induced psychotic disorder with hallucinations 
F10.259,"Alcohol dependence with alcohol-induced psychotic disorder, unspecified "
F10.26,Alcohol dependence with alcohol-induced persisting amnestic disorder 
F10.27,Alcohol dependence with alcohol-induced persisting dementia 
F10.280,Alcohol dependence with alcohol-induced anxiety disorder 
F10.281,Alcohol dependence with alcohol-induced sexual dysfunction 
F10.282,Alcohol dependence with alcohol-induced sleep disorder 
F10.288,Alcohol dependence with other alcohol-induced disorder 
F10.29,Alcohol dependence with unspecified alcohol-induced disorder 
F10.921,"Alcohol use, unspecified with intoxication delirium "
F10.94,"Alcohol use, unspecified with alcohol-induced mood disorder "
F10.950,"Alcohol use, unspecified with alcohol-induced psychotic disorder with delusions "
F10.951,"Alcohol use, unspecified with alcohol-induced psychotic disorder with hallucinations"
F10.959,"Alcohol use, unspecified with alcohol-induced psychotic disorder, unspecified "
F10.96,"Alcohol use, unspecified with alcohol-induced persisting amnestic disorder "
F10.97,"Alcohol use, unspecified with alcohol-induced persisting dementia "
F10.980,"Alcohol use, unspecified with alcohol-induced anxiety disorder "
F10.981,"Alcohol use, unspecified with alcohol-induced sexual dysfunction "
F10.982,"Alcohol use, unspecified with alcohol-induced sleep disorder "
F10.988,"Alcohol use, unspecified with other alcohol-induced disorder "
F11.121,Opioid abuse with intoxication delirium 
F11.122,Opioid abuse with intoxication with perceptual disturbance 
F11.14,Opioid abuse with opioid-induced mood disorder 
F11.150,Opioid abuse with opioid-induced psychotic disorder with delusions 
F11.151,Opioid abuse with opioid-induced psychotic disorder with hallucinations 
F11.159,"Opioid abuse with opioid-induced psychotic disorder, unspecified "
F11.181,Opioid abuse with opioid-induced sexual dysfunction 
F11.182,Opioid abuse with opioid-induced sleep disorder 
F11.188,Opioid abuse with other opioid-induced disorder 
F11.19,Opioid abuse with unspecified opioid-induced disorder 
F11.221,Opioid dependence with intoxication delirium 
F11.24,Opioid dependence with opioid-induced mood disorder 
F11.250,Opioid dependence with opioid-induced psychotic disorder with delusions 
F11.251,Opioid dependence with opioid-induced psychotic disorder with hallucinations 
F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified "
F11.281,Opioid dependence with opioid-induced sexual dysfunction 
F11.282,Opioid dependence with opioid-induced sleep disorder 
F11.288,Opioid dependence with other opioid-induced disorder 
F11.29,Opioid dependence with unspecified opioid-induced disorder 
F11.921,"Opioid use, unspecified with intoxication delirium "
F11.922,"Opioid use, unspecified with intoxication with perceptual disturbance "
F11.94,"Opioid use, unspecified with opioid-induced mood disorder "
F11.950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions "
F11.951,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations"
F11.959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified "
F11.981,"Opioid use, unspecified with opioid-induced sexual dysfunction "
F11.982,"Opioid use, unspecified with opioid-induced sleep disorder "
F11.988,"Opioid use, unspecified with other opioid-induced disorder "
F12.121,Cannabis abuse with intoxication delirium 
F12.122,Cannabis abuse with intoxication with perceptual disturbance 
F12.150,Cannabis abuse with psychotic disorder with delusions 
F12.151,Cannabis abuse with psychotic disorder with hallucinations 
F12.159,"Cannabis abuse with psychotic disorder, unspecified "
F12.180,Cannabis abuse with cannabis-induced anxiety disorder 
F12.188,Cannabis abuse with other cannabis-induced disorder 
F12.19,Cannabis abuse with unspecified cannabis-induced disorder 
F12.221,Cannabis dependence with intoxication delirium 
F12.222,Cannabis dependence with intoxication with perceptual disturbance 
F12.250,Cannabis dependence with psychotic disorder with delusions 
F12.251,Cannabis dependence with psychotic disorder with hallucinations 
F12.259,"Cannabis dependence with psychotic disorder, unspecified "
F12.280,Cannabis dependence with cannabis-induced anxiety disorder 
F12.288,Cannabis dependence with other cannabis-induced disorder 
F12.29,Cannabis dependence with unspecified cannabis-induced disorder 
F12.921,"Cannabis use, unspecified with intoxication delirium "
F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance "
F12.950,"Cannabis use, unspecified with psychotic disorder with delusions "
F12.951,"Cannabis use, unspecified with psychotic disorder with hallucinations "
F12.959,"Cannabis use, unspecified with psychotic disorder, unspecified "
F12.980,"Cannabis use, unspecified with anxiety disorder "
F12.988,"Cannabis use, unspecified with other cannabis-induced disorder "
F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium "
F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder"
F13.150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13.151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13.159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder"
F13.181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction"
F13.182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder"
F13.188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder"
F13.19,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder"
F13.221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium "
F13.231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium "
F13.232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance"
F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified "
F13.24,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder"
F13.250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions"
F13.251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations"
F13.259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified"
