fascicle,num_voxels_total,non_zero_voxels_in_anxiety_map,prop_in_mask
AF_L,35716,,
AF_R,15249,,
C_FPH_L,2569,,
C_FPH_R,2760,7,.00253623188405797101
C_FP_L,14457,61,.00421940928270042194
C_FP_R,21386,23,.00107546993360142149
C_PH_L,3171,,
C_PHP_L,1900,,
C_PHP_R,4612,15,.00325238508239375542
C_PH_R,2593,64,.02468183571153104512
C_R_L,2666,,
C_R_R,5181,180,.03474232773595830920
EMC_L,7344,124,.01688453159041394335
EMC_R,5641,32,.00567275305796844531
FAT_L,27142,,
FAT_R,15510,1,.00006447453255963894
IFOF_L,30311,145,.00478374187588664181
IFOF_R,34880,29,.00083142201834862385
ILF_L,27401,44,.00160578081091930951
ILF_R,36327,643,.01770033308558372560
MdLF_L,7637,,
MdLF_R,5744,,
PAT_L,10921,,
PAT_R,13976,,
SLF1_L,9836,30,.00305002033346888979
SLF1_R,13482,,
SLF2_L,26947,,
SLF2_R,37091,5,.00013480359116766870
SLF3_L,10053,,
SLF3_R,15526,,
UF_L,7607,300,.03943736032601551202
UF_R,7744,711,.09181301652892561983
VOF_L,5681,,
VOF_R,4079,,
CB_L,45470,,
CB_R,43251,,
ICP_L,4963,,
ICP_R,4449,6,.00134861766689143627
MCP,16514,8,.00048443744701465423
SCP,4315,,
V,11299,,
CNIII_L,563,50,.08880994671403197158
CNIII_R,486,2,.00411522633744855967
CNII_L,1097,213,.19416590701914311759
CNII_R,1415,149,.10530035335689045936
CNVIII_L,1034,,
CNVIII_R,968,,
CNVII_L,298,,
CNVII_R,276,,
CNV_L,817,,
CNV_R,995,2,.00201005025125628140
AR_L,3082,,
AR_R,1935,,
CBT_L,4609,52,.01128227381210674766
CBT_R,6146,15,.00244061178001952489
CPT_F_L,18693,36,.00192585459797785267
CPT_F_R,34955,36,.00102989558003146903
CPT_O_L,9022,16,.00177344269563289736
CPT_O_R,7015,,
CPT_P_L,24377,54,.00221520285515034663
CPT_P_R,27829,23,.00082647597829602213
CS_A_L,26114,18,.00068928544075974573
CS_A_R,21542,25,.00116052362826107139
CS_P_L,5526,4,.00072385088671733622
CS_P_R,6231,,
CS_S_L,31034,,
CS_S_R,34141,30,.00087870888374681468
CST_L,20476,88,.00429771439734323109
CST_R,16388,18,.00109836465706614596
DRTT_L,14986,,
DRTT_R,17163,11,.00064091359319466293
F_L,5175,519,.10028985507246376811
F_R,8018,1047,.13058119231728610626
ML_L,10871,,
ML_R,9139,,
OR_L,6876,,
OR_R,5510,43,.00780399274047186932
RST_L,14766,1,.00006772314777190843
RST_R,11890,10,.00084104289318755256
TR_A_L,20628,12,.00058173356602675974
TR_A_R,14840,3,.00020215633423180592
TR_P_L,4402,,
TR_P_R,4748,,
TR_S_L,39767,,
TR_S_R,37036,7,.00018900529214818014
AC,26517,1434,.05407851566919334766
CC,390601,873,.00223501731946410787
